alsa-oss 1.0.25-1
kdeplasma-addons-applets-comic 4.9.0-1
kdeplasma-addons-applets-community 4.9.0-1
kdeplasma-addons-applets-dict 4.9.0-1
kdeplasma-addons-applets-eyes 4.9.0-1
kdeplasma-addons-applets-fifteenpuzzle 4.9.0-1
kdeplasma-addons-applets-filewatcher 4.9.0-1
kdeplasma-addons-applets-frame 4.9.0-1
kdeplasma-addons-applets-fuzzy-clock 4.9.0-1
kdeplasma-addons-applets-icontasks 4.9.0-1
kdeplasma-addons-applets-incomingmsg 4.9.0-1
kdeplasma-addons-applets-kdeobservatory 4.9.0-1
kdeplasma-addons-applets-kimpanel 4.9.0-1
kdeplasma-addons-applets-knowledgebase 4.9.0-1
kdeplasma-addons-applets-kolourpicker 4.9.0-1
kdeplasma-addons-applets-konqprofiles 4.9.0-1
kdeplasma-addons-applets-konsoleprofiles 4.9.0-1
kdeplasma-addons-applets-lancelot 4.9.0-1
kdeplasma-addons-applets-leavenote 4.9.0-1
kdeplasma-addons-applets-life 4.9.0-1
kdeplasma-addons-applets-luna 4.9.0-1
kdeplasma-addons-applets-magnifique 4.9.0-1
kdeplasma-addons-applets-mediaplayer 4.9.0-1
kdeplasma-addons-applets-microblog 4.9.0-1
kdeplasma-addons-applets-news 4.9.0-1
kdeplasma-addons-applets-notes 4.9.0-1
kdeplasma-addons-applets-nowplaying 4.9.0-1
kdeplasma-addons-applets-paste 4.9.0-1
kdeplasma-addons-applets-pastebin 4.9.0-1
kdeplasma-addons-applets-plasmaboard 4.9.0-1
kdeplasma-addons-applets-previewer 4.9.0-1
kdeplasma-addons-applets-qalculate 4.9.0-1
kdeplasma-addons-applets-rememberthemilk 4.9.0-1
kdeplasma-addons-applets-rssnow 4.9.0-1
kdeplasma-addons-applets-showdashboard 4.9.0-1
kdeplasma-addons-applets-showdesktop 4.9.0-1
kdeplasma-addons-applets-social-news 4.9.0-1
kdeplasma-addons-applets-spellcheck 4.9.0-1
kdeplasma-addons-applets-systemloadviewer 4.9.0-1
kdeplasma-addons-applets-timer 4.9.0-1
kdeplasma-addons-applets-unitconverter 4.9.0-1
kdeplasma-addons-applets-weather 4.9.0-1
kdeplasma-addons-applets-weatherstation 4.9.0-1
kdeplasma-addons-applets-webslice 4.9.0-1
kdeplasma-addons-containments 4.9.0-1
kdeplasma-addons-runners-audioplayercontrol 4.9.0-1
kdeplasma-addons-runners-browserhistory 4.9.0-1
kdeplasma-addons-runners-characters 4.9.0-1
kdeplasma-addons-runners-contacts 4.9.0-1
kdeplasma-addons-runners-converter 4.9.0-1
kdeplasma-addons-runners-datetime 4.9.0-1
kdeplasma-addons-runners-events 4.9.0-1
kdeplasma-addons-runners-katesessions 4.9.0-1
kdeplasma-addons-runners-konquerorsessions 4.9.0-1
kdeplasma-addons-runners-konsolesessions 4.9.0-1
kdeplasma-addons-runners-kopete 4.9.0-1
kdeplasma-addons-runners-mediawiki 4.9.0-1
kdeplasma-addons-runners-spellchecker 4.9.0-1
kdeplasma-addons-wallpapers-mandelbrot 4.9.0-1
kdeplasma-addons-wallpapers-marble 4.9.0-1
kdeplasma-addons-wallpapers-pattern 4.9.0-1
kdeplasma-addons-wallpapers-potd 4.9.0-1
kdeplasma-addons-wallpapers-virus 4.9.0-1
kdeplasma-addons-wallpapers-weather 4.9.0-1
kdesdk-kdeaccounts-plugin 4.8.4-1
kdesdk-kdepalettes 4.8.4-1
kdetoys-amor 4.9.0-1
kdetoys-kteatime 4.9.0-1
kdetoys-ktux 4.9.0-1
kdeutils-ksecrets 4.8.4-1
kdevelop 4.3.1-1
kdewebdev-kfilereplace 4.9.0-1
kdewebdev-kimagemapeditor 4.9.0-1
kdewebdev-klinkstatus 4.9.0-1
kdewebdev-kommander 4.9.0-1
klavaro 1.9.5-2
kpartsplugin 20120723-1
kphotoalbum 4.2-4
krename 4.0.9-2
ktorrent 4.2.1-1
kwave 0.8.8-1
kwebkitpart 1.2.0.20120705-1
lesspipe 1.72-1
libastral 0.5-1
libdvdcss 1.2.12-1
libfetch 2.33-3
libgdu 3.0.2-2
libgraphite 2.3.1-2
libgsf 1.14.23-1
libjpeg6 6b1-2
libmythes 1:1.2.3-1
libnl1 1.1-1
liboil 0.3.17-2
libpng12 1.2.49-1
libpng14 1.4.11-1
libreoffice-base 3.5.6-1
libreoffice-calc 3.5.6-1
libreoffice-draw 3.5.6-1
libreoffice-extension-ct2n 3.4.5-2
libreoffice-extension-diagram 3.4.5-2
libreoffice-extension-hunart 3.4.5-2
libreoffice-extension-nlpsolver 3.5.6-1
libreoffice-extension-numbertext 3.4.5-2
libreoffice-extension-pdfimport 3.5.6-1
libreoffice-extension-presentation-minimizer 3.5.6-1
libreoffice-extension-presenter-screen 3.5.6-1
libreoffice-extension-report-builder 3.5.6-1
libreoffice-extension-typo 3.4.5-2
libreoffice-extension-watch-window 3.4.5-2
libreoffice-extension-wiki-publisher 3.5.6-1
libreoffice-impress 3.5.6-1
libreoffice-kde4 3.5.6-1
libreoffice-math 3.5.6-1
libreoffice-sdk 3.5.6-1
libreoffice-writer 3.5.6-1
libstdc++5 3.3.6-4
libtar 1.2.11-4
libtextcat 2.2-9
libtool 2.4.2-6
libunique3 3.0.2-2
libvirt 0.10.0-1
libxfcegui4 4.10.0-1
licenses 2.9-1
links 2.7-1
linuxdcpp 1.1.0-3
llvm 3.1-4
logrotate 3.8.2-1
loiq 0.3.1a-1
lvm2 2.02.97-1
lynx 2.8.7-6
macchanger 1.5.0-5
man-pages 3.42-1
mdadm 3.2.5-2
mdbtools 0.5-7
meld 1.6.0-1
memtest86+ 4.20-2
mencoder 35014-1
mesa-demos 8.0.1-2
midori 0.4.6-2
monaco-linux-font 1-3
mono-debugger 2.10-2
mono-tools 2.10-2
monodevelop-debugger-gdb 3.0.3.5-1
most 5.0.0a-4
mtools 4.0.17-2
myodbc 5.1.11-3
mysql-python 1.2.3-3
mysql-workbench 1:5.2.38-1
mythes-ru 0.1-2
nano-syntax-highlighting-git 20111009-2
netsurf 2.9-4
networkmanager 0.9.4.0-6
nmap 6.01-2
nodejs 0.8.8-1
ntfsprogs 2012.1.15-3
ntp 4.2.6.p5-11
ntrack 1:16-2
openslp 1.2.1-5
openssl-compatibility 0.9.8-3
opera 12.02-1
p7zip 9.20.1-6
pacman-contrib 4.0.3-1
parole 0.3.0.3-1
patch 2.6.1-3
pcmanfm 1.0-1
pcmciautils 018-4
pgadmin3 1.14.3-1
pkg-config 0.27.1-1
postgresql 9.1.4-1
psi-plus 0.15.3886-1
python-imaging 1.1.7-4
python-lxml 2.3.5-1
python2-pychm 0.8.4-1
python2-pygments 1.5-2
python2-setuptools_git 0.4.2-2
python2-sqlalchemy 0.7.8-1
pyxml 0.8.4-10
qconf-svn 693-2
qgit 2.3-3
qt-components-symbian 1.1-1
qtcreator 2.5.2-1
qtcurve-gtk2 1.8.15-1
qtcurve-kde3 1.8.5-3
qtcurve-kde4 1.8.14-1
ragel 6.7-1
rapidsvn 0.12.0-5
rdesktop 1.7.1-2
reiserfsprogs 3.6.21-4
rhino 1.7R3-3
rp-pppoe 3.10-7
rrdtool 1.4.7-2
rsync 3.0.9-4
rubinius-git 20120311-1
scrot 0.8-5
sendmail 8.14.5-1
skype 4.0.0.8-1
slim 1.3.4-2
smplayer 0.8.0-1
sqlitebrowser 2.0b1-2
sqliteman 1.2.2-5
sshfs 2.4-1
sublime-text-dev 2.2216-1
sudo 1.8.5.p3-1
syslog-ng 3.3.5-2
systemd-arch-units 20120704-5
tango-icon-theme 0.8.90-7
tcp_wrappers 7.7-1
teamviewer-stable 7.0.9350-3
terminal 0.4.8-2
terminus-font 4.36-2
texlive-bin 2012.0-4
thunderbird-i18n-ru 15.0-1
thunderbird-spell-ru-us 2.0-3
tightvnc 1.3.10-8
tilda 0.9.6-6
tk 8.5.12-1
ttf-bitstream-vera 1.10-8
ttf-liberation 2.00.0-1
ttf-ms-fonts 2.0-9
tumbler 0.1.25-1
tunepimp 0.5.3-9
unrar 4.2.4-1
upx 3.08-1
usbutils 006-1
v8 3.13.0-1
vde2 2.3.2-1
vi 1:050325-2
vidalia 0.2.20-1
virtualbox 4.1.20-2
virtuoso 6.1.6-1
vlc 2.0.3-3
which 2.20-5
wine_gecko 1.7-1
winetricks 20120819-1
wireless_tools 29-7
wwwsqldesigner 126-1
xf86-input-keyboard 1.6.2-1
xf86-input-mouse 1.8.1-1
xf86-video-ati 1:6.14.6-1
xf86-video-vesa 2.3.2-1
xfce4-appfinder 4.10.0-1
xfce4-mixer 4.8.0-4
xfce4-session 4.10.0-3
xfce4-settings 4.10.0-2
xfce4-xkb-plugin 0.5.4.3-2
xfsprogs 3.1.8-2
xfwm4-themes 4.10.0-1
xine-ui 0.99.7-1
xorg-docs 1.7-1
xorg-fonts-100dpi 1.0.1-4
xorg-fonts-75dpi 1.0.1-4
xorg-res-utils 1.0.3-3
xorg-server 1.12.4-1
